Date,Adj. Close Price
13/10/15,115.04
14/10/15,115.34
15/10/15,115.40
16/10/15,115.63
19/10/15,114.73
20/10/15,108.14
21/10/15,108.35
22/10/15,110.79
23/10/15,111.24
26/10/15,110.46
27/10/15,106.00
28/10/15,108.28
29/10/15,108.07
30/10/15,107.70
02/11/15,107.93
03/11/15,109.09
04/11/15,108.90
05/11/15,107.56
06/11/15,107.29
09/11/15,105.01
10/11/15,105.14
11/11/15,104.79
12/11/15,103.25
13/11/15,102.25
16/11/15,103.77
17/11/15,103.86
18/11/15,105.41
19/11/15,106.12
20/11/15,107.49
23/11/15,107.46
24/11/15,107.57
25/11/15,107.10
27/11/15,107.46
30/11/15,108.20
01/12/15,109.65
02/12/15,108.42
03/12/15,107.81
04/12/15,108.99
07/12/15,108.30
08/12/15,107.14
09/12/15,106.02
10/12/15,106.15
11/12/15,104.44
14/12/15,105.49
15/12/15,106.94
16/12/15,108.10
17/12/15,106.13
18/12/15,104.69
21/12/15,105.16
22/12/15,107.05
23/12/15,107.52
24/12/15,107.29
28/12/15,106.80
29/12/15,108.48
30/12/15,108.14
31/12/15,106.81
04/01/16,105.51
05/01/16,105.43
06/01/16,104.90
07/01/16,103.11
08/01/16,102.16
11/01/16,103.40
12/01/16,103.14
13/01/16,101.80
14/01/16,103.15
15/01/16,100.92
19/01/16,99.43
20/01/16,94.57
21/01/16,95.39
22/01/16,95.07
25/01/16,94.75
26/01/16,95.14
27/01/16,93.88
28/01/16,94.85
29/01/16,96.85
01/02/16,96.88
02/02/16,95.41
03/02/16,96.79
04/02/16,99.07
05/02/16,99.78
08/02/16,99.55
09/02/16,97.27
10/02/16,94.23
11/02/16,92.40
12/02/16,94.90
16/02/16,96.23
17/02/16,98.86
18/02/16,103.84
19/02/16,104.34
22/02/16,104.88
23/02/16,103.80
24/02/16,104.12
25/02/16,105.45
26/02/16,103.51
29/02/16,102.73
